report_code,report_title,zone_name,fight_id,fight_name,difficulty,kill,fight_percentage,boss_percentage,last_phase,duration_seconds,start_time_utc,end_time_utc,start_time_epoch_ms
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,23,Dancing Mad,100,False,86.47,82.38,2,263.8,2026-06-03T19:20:21.214000+00:00,2026-06-03T19:24:44.983000+00:00,1780514421214
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,24,Dancing Mad,100,False,92.35,23.53,1,201.8,2026-06-03T19:25:11.594000+00:00,2026-06-03T19:28:33.366000+00:00,1780514711594
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,25,Dancing Mad,100,False,97.49,74.93,1,57.8,2026-06-03T19:29:44.224000+00:00,2026-06-03T19:30:42.024000+00:00,1780514984224
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,26,Dancing Mad,100,False,95.6,56.02,1,97.3,2026-06-03T19:31:00.508000+00:00,2026-06-03T19:32:37.782000+00:00,1780515060508
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,27,Dancing Mad,100,False,92.5,25.06,1,198.4,2026-06-03T19:32:56.272000+00:00,2026-06-03T19:36:14.634000+00:00,1780515176272
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,28,Dancing Mad,100,False,91.68,16.8,1,207.4,2026-06-03T19:36:35.168000+00:00,2026-06-03T19:40:02.617000+00:00,1780515395168
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,29,Dancing Mad,100,False,93.09,30.97,1,200.4,2026-06-03T19:40:30.910000+00:00,2026-06-03T19:43:51.358000+00:00,1780515630910
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,30,Dancing Mad,100,False,98.3,83.02,1,36.1,2026-06-03T19:46:19.391000+00:00,2026-06-03T19:46:55.444000+00:00,1780515979391
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,31,Dancing Mad,100,False,95.21,52.11,1,111.2,2026-06-03T19:47:12.550000+00:00,2026-06-03T19:49:03.767000+00:00,1780516032550
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,32,Dancing Mad,100,False,92.19,21.92,1,203.2,2026-06-03T19:49:22.434000+00:00,2026-06-03T19:52:45.623000+00:00,1780516162434
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,33,Dancing Mad,100,False,91.53,15.37,1,210.6,2026-06-03T19:53:29.728000+00:00,2026-06-03T19:57:00.279000+00:00,1780516409728
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,34,Dancing Mad,100,False,95.99,59.94,1,122.2,2026-06-03T19:57:19.037000+00:00,2026-06-03T19:59:21.192000+00:00,1780516639037
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,35,Dancing Mad,100,False,91.65,16.53,1,206.8,2026-06-03T20:06:50.357000+00:00,2026-06-03T20:10:17.167000+00:00,1780517210357
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,36,Dancing Mad,100,False,95.7,57.04,1,94.0,2026-06-03T20:10:35.920000+00:00,2026-06-03T20:12:09.938000+00:00,1780517435920
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,37,Dancing Mad,100,False,91.86,18.68,1,206.8,2026-06-03T20:12:27.268000+00:00,2026-06-03T20:15:54.063000+00:00,1780517547268
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,38,Dancing Mad,100,False,91.89,18.9,1,208.4,2026-06-03T20:16:32.953000+00:00,2026-06-03T20:20:01.398000+00:00,1780517792953
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,39,Dancing Mad,100,False,86.74,83.71,2,265.3,2026-06-03T20:21:03.821000+00:00,2026-06-03T20:25:29.074000+00:00,1780518063821
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,40,Dancing Mad,100,False,93.58,35.84,1,198.9,2026-06-03T20:25:52.238000+00:00,2026-06-03T20:29:11.169000+00:00,1780518352238
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,41,Dancing Mad,100,False,95.66,56.66,1,111.7,2026-06-03T20:29:37.449000+00:00,2026-06-03T20:31:29.186000+00:00,1780518577449
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,42,Dancing Mad,100,False,92.77,27.73,1,202.1,2026-06-03T20:31:47.755000+00:00,2026-06-03T20:35:09.894000+00:00,1780518707755
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,43,Dancing Mad,100,False,86.82,84.1,2,264.0,2026-06-03T20:35:33.538000+00:00,2026-06-03T20:39:57.574000+00:00,1780518933538
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,44,Dancing Mad,100,False,97.61,76.11,1,55.2,2026-06-03T20:41:42.934000+00:00,2026-06-03T20:42:38.108000+00:00,1780519302934
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,45,Dancing Mad,100,False,86.01,80.05,2,275.2,2026-06-03T20:42:56.872000+00:00,2026-06-03T20:47:32.052000+00:00,1780519376872
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,46,Dancing Mad,100,False,89.39,96.98,2,265.3,2026-06-03T20:48:08.554000+00:00,2026-06-03T20:52:33.881000+00:00,1780519688554
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,47,Dancing Mad,100,False,97.71,77.14,1,51.4,2026-06-03T20:52:57.489000+00:00,2026-06-03T20:53:48.906000+00:00,1780519977489
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,48,Dancing Mad,100,False,91.53,15.34,1,208.7,2026-06-03T20:54:06.102000+00:00,2026-06-03T20:57:34.773000+00:00,1780520046102
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,49,Dancing Mad,100,False,85.71,78.57,2,276.3,2026-06-03T20:59:03.663000+00:00,2026-06-03T21:03:39.960000+00:00,1780520343663
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,1,Striking Dummy,,,,,0,281.8,2026-06-05T14:12:09.137000+00:00,2026-06-05T14:16:50.912000+00:00,1780668729137
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,2,Striking Dummy,,,,,0,32.4,2026-06-05T14:17:29.085000+00:00,2026-06-05T14:18:01.518000+00:00,1780669049085
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,3,Dancing Mad,100,False,95.09,50.93,1,118.4,2026-06-05T18:04:09.680000+00:00,2026-06-05T18:06:08.111000+00:00,1780682649680
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,4,Dancing Mad,100,False,93.63,36.3,1,192.7,2026-06-05T18:06:59.492000+00:00,2026-06-05T18:10:12.214000+00:00,1780682819492
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,5,Dancing Mad,100,False,86.09,80.49,2,265.4,2026-06-05T18:10:31.812000+00:00,2026-06-05T18:14:57.176000+00:00,1780683031812
